"fp","target","rank","repeat"
"rf_rdk7","859","1","25"
"rf_rdk7","859","1","26"
"rf_rdk7","859","1","27"
"rf_rdk7","859","1","28"
"rf_rdk7","859","1","29"
"rf_rdk7","859","1","30"
"rf_rdk7","859","1","31"
"rf_rdk7","859","1","32"
"rf_rdk7","859","1","33"
"rf_rdk7","859","1","34"
"rf_rdk7","859","1","35"
"rf_rdk7","859","1","36"
"rf_rdk7","859","1","37"
"rf_rdk7","859","1","38"
"rf_rdk7","859","1","39"
"rf_rdk7","859","1","40"
"rf_rdk7","859","1","41"
"rf_rdk7","859","1","42"
"rf_rdk7","859","1","43"
"rf_rdk7","859","1","44"
"rf_rdk7","859","1","45"
"rf_rdk7","859","1","46"
"rf_rdk7","859","1","47"
"rf_rdk7","859","1","48"
"rf_rdk7","859","1","49"
"rf_rdk7","859","1","50"
"rf_rdk7","ace","1","1"
"rf_rdk7","ace","1","2"
"rf_rdk7","ace","1","3"
"rf_rdk7","ace","1","4"
"rf_rdk7","ace","1","5"
"rf_rdk7","ace","1","6"
"rf_rdk7","ace","1","7"
"rf_rdk7","ace","1","8"
"rf_rdk7","ace","1","9"
"rf_rdk7","ace","1","10"
"rf_rdk7","ace","1","11"
"rf_rdk7","ace","1","12"
"rf_rdk7","ace","1","13"
"rf_rdk7","ace","1","14"
"rf_rdk7","ace","1","15"
"rf_rdk7","ace","1","16"
"rf_rdk7","ace","1","17"
"rf_rdk7","ace","1","18"
